Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2020-06-04,481.4700927734375,483.1890414067556,476.0135647586257,477.7148660429899,913400
2020-06-05,490.5848083496094,495.48598203857125,486.25658156897134,491.88059700019346,1438000
2020-06-08,491.2900390625,495.33612382020175,485.31339908983256,491.1930324560516,1133400
2020-06-09,491.9337463378906,495.8476391886697,482.140217434792,483.0393179012072,851900
2020-06-10,491.9337463378906,500.32570937718015,489.79169099294506,493.1590538612069,779700
2020-06-11,462.9759826660156,483.65608779339055,459.3882452627752,479.6011799888133,1250800
2020-06-12,464.5892639160156,475.2467034114606,454.94557862952934,474.6032207483067,1065600
2020-06-15,478.6846923828125,484.46737518846396,454.61068856789853,456.82327937819275,1242900
2020-06-16,485.1812438964844,492.6740498379638,475.44055313024757,492.6740498379638,826900
2020-06-17,489.4388427734375,494.96590581306486,487.2967884085449,489.2008726014856,704600
2020-06-18,490.79638671875,492.18912823789265,483.5327818338572,484.7139704034028,531800
2020-06-19,489.5623474121094,499.79662677920373,482.05189348339894,499.79662677920373,1875200
2020-06-22,487.6583251953125,492.38318804268795,483.5857686764981,485.50744676435835,478600
2020-06-23,488.9276428222656,495.39787094623,487.6582712035069,493.64368147231784,605900
2020-06-24,474.7529296875,486.503425593556,472.6990046181834,483.63852966451935,868800
2020-06-25,482.1577453613281,485.1813610117594,469.62274457415657,474.0479258976319,713900
2020-06-26,471.47381591796875,479.90984111656644,465.990870314227,477.8735628826219,1167800
2020-06-29,469.72845458984375,476.5160667043827,468.07121774724266,476.0136014465082,774400
2020-06-30,479.61895751953125,481.28496413060816,470.6980610828179,470.6980610828179,1067100
2020-07-01,479.82159423828125,481.7256244847821,473.7744729428162,479.795123219567,548600
2020-07-02,486.3888854980469,494.13730869056485,483.61211834902866,489.659240359235,742000
2020-07-06,491.4841003417969,497.52245413919087,491.07864165197714,493.64380273936257,703100
2020-07-07,484.1499328613281,494.05806007734463,484.08822093276336,487.79938370225864,557300
2020-07-08,491.5368957519531,493.59082125091766,484.3790662684891,485.71897355404803,435700
2020-07-09,484.3350830078125,491.4135544101644,479.7688843847483,488.76026422062034,462700
2020-07-10,488.42523193359375,490.04717408060736,481.99024398795376,485.295894008272,489500
2020-07-13,487.0852966308594,498.253970460613,486.59165507492816,492.0570068888848,786400
2020-07-14,494.81610107421875,495.85627237692813,486.11563547854655,487.2615832660812,567300
2020-07-15,501.2159118652344,505.1033326896226,493.85529873191007,504.46867369906886,767600
2020-07-16,499.7789611816406,502.24716870290865,496.3939524361239,498.31563021350007,729900
2020-07-17,518.0791015625,522.2750821412328,504.7948426922558,509.8193879336609,1150200
2020-07-20,510.921142578125,515.6812991685276,508.7438473625768,511.4676723003633,706700
2020-07-21,511.27386474609375,515.4610213970316,509.7664689827132,515.4610213970316,523000
2020-07-22,513.5128784179688,517.1094407121051,509.49321013730963,511.5647831026055,460500
2020-07-23,509.6431579589844,515.7255223587628,507.060295789697,511.54718889905246,453600
2020-07-24,503.0051574707031,509.5106787457704,500.3958792624151,509.5106787457704,421600
2020-07-27,507.1571960449219,509.75765121808314,498.3597237852003,501.33922033164527,618500
2020-07-28,503.0757751464844,506.15222425259543,501.5772033215017,505.0151002257039,488900
2020-07-29,509.1581726074219,511.45894564214063,502.23836756363835,502.23836756363835,724800
2020-07-30,505.1826477050781,505.1826477050781,497.1697289325201,501.85052688790734,341200
2020-07-31,506.8751220703125,507.14838696602754,499.5321569783077,504.5126908228324,375900
2020-08-03,511.229736328125,514.4031383987323,508.9025461148049,510.7008001144303,496400
2020-08-04,503.3755187988281,507.47454608574753,500.6340461348519,505.676291957552,513100
2020-08-05,513.1690673828125,515.6108039773617,505.3059900995349,508.3736695260032,465800
2020-08-06,513.2396240234375,514.2269072141632,506.9280597825192,511.23864041873543,455000
2020-08-07,518.493408203125,518.6256557242289,510.76257752274677,513.6274741882219,469900
2020-08-10,511.4503173828125,517.5855710118424,510.98309289745316,516.748182493863,465800
